#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000          180.000000          180.000000          200.000000          200.000000          220.000000          220.000000
  16.4000000    9.9332683762e-27   -2.2523848666e-14   -3.2932492506e-25    1.3447936213e-12    3.9770267189e-25    4.3411072544e-12    1.5357814684e-24    1.0938552825e-11   -3.5730890936e-25    4.0693789459e-12   -1.2990745557e-25   -9.1933606217e-13   -1.5713384621e-28    4.9848819011e-14    5.8172613492e-29    6.8518402411e-16
  16.8000000    1.6953840732e-26    6.6041363172e-14   -1.3655864921e-24    9.7770491400e-13    1.1666514855e-24    4.0864327276e-12    1.1926058895e-24    7.9559120793e-12   -2.8494184659e-25    4.9444449825e-12   -1.0910371573e-25   -8.4415167552e-13   -3.2786169992e-28    1.5825342211e-13    4.2372869889e-29    6.3341050270e-17
  17.2000000   -2.5841436283e-26   -3.2575554532e-14    5.0750048430e-27    5.2477210644e-13    1.0081579783e-24    2.5784976888e-12   -4.3832736391e-25    5.0174728492e-12   -3.7224067526e-26    3.5856607122e-12   -4.2521489586e-26   -2.5641665213e-13   -6.7851956142e-28    2.4808885302e-13    1.1382669786e-28    2.7351873134e-16
  17.6000000    2.2693141765e-28   -1.6655166538e-13    7.2528321684e-25    3.8497432409e-13    3.0013891929e-25    7.5409668328e-13   -2.2316555727e-24    2.2552953861e-12    2.1345019504e-25    9.4798769911e-13    2.0539164989e-26    3.8095049632e-13   -1.0279495192e-27    2.9999928276e-13    9.6952908754e-29   -7.2356807568e-17
  18.0000000    2.0977901560e-26    9.7776559581e-14    5.6730482387e-25    7.8783958596e-13   -3.9478631265e-25   -1.6042700502e-12   -2.8244067682e-24   -2.3314332915e-13    3.0650249164e-25   -1.9505777963e-12    3.9567069725e-26    6.5302938187e-13   -1.3123485218e-27    3.0157843589e-13    1.4928475057e-28   -1.0267723366e-15
  18.4000000    4.8292663699e-26    2.6477168165e-13    4.8094980328e-25    1.5974693091e-12   -9.1257205626e-25   -4.4787631572e-12   -2.0163068944e-24   -1.4590725226e-12    2.0334083752e-25   -4.2635847993e-12    1.4195108020e-26    4.5396158594e-13   -1.4285877659e-27    2.4989990568e-13    7.8583768177e-29   -2.1609808561e-15
  18.8000000   -5.1737768302e-26    2.2768484390e-13    2.4521141621e-25    2.2184644553e-12   -1.1415593788e-24   -6.1509077291e-12   -5.9480848248e-25   -3.8580926898e-14   -4.3957301798e-26   -5.2172779842e-12   -2.1979163556e-26   -3.4227723316e-15   -1.4756864356e-27    1.5187578357e-13   -1.8220785931e-29   -2.2616585245e-15
  19.2000000   -1.7383588955e-25   -2.7074918720e-13   -5.6706226440e-26    1.9654108601e-12   -9.7595619978e-25   -4.4816364370e-12    2.9304446511e-25    4.2300894138e-12   -3.1477884731e-25   -4.3446171236e-12   -4.3550173396e-26   -3.9029874889e-13   -1.5852631051e-27    2.3640962401e-14   -1.9786825921e-29   -1.6368547059e-15
  19.6000000    1.3388429046e-25   -6.5518649813e-13   -2.3649210539e-25    5.5721771313e-13   -4.3596532157e-25    2.5555755715e-13    1.4116743020e-25    9.3202255133e-12   -4.4938065320e-25   -2.0041645882e-12   -4.2556499977e-26   -5.0185056800e-13   -1.3427627337e-27   -1.1174089344e-13    4.1869771261e-29   -1.8002039408e-15
  20.0000000    2.0148307494e-25    3.1301784644e-13   -6.7627336022e-26   -1.4150643911e-12    3.8427573151e-25    4.7971260491e-12   -7.4650099752e-25    1.1930385691e-11   -3.5558662987e-25    5.4074055679e-13   -2.9560609745e-26   -3.5267464058e-13   -8.9871229445e-28   -2.2868795725e-13    1.3166773641e-28   -2.0510825124e-15
